experiment_cohort,day_of_experiment,device_type,gender,region,age,total_artists_last_100_days,minutes_listening_during_experiment,user_id
control,9,mobile,M,west,19.9,114,42.6,491110977
control,11,mobile,M,west,28.3,63,60.4,89865036
control,12,mobile,M,west,27.1,71,45.4,573573766
control,13,mobile,M,west,28.6,61,42.6,240590137
control,13,mobile,M,west,21,74,53.9,534045045
control,13,mobile,M,west,23.5,119,54.6,508190171
control,14,mobile,M,west,41.1,37,48.4,377777194
control,14,mobile,M,west,36.6,172,49.8,263843807
control,14,mobile,M,west,33.6,108,58.6,194457808
control,15,mobile,M,west,47.7,81,105.8,189185858
control,16,mobile,M,west,36.6,108,68.9,637229574
control,16,mobile,M,west,28.7,109,63.3,295685728
treatment,17,mobile,M,west,30,53,75.8,498575435
control,17,mobile,M,west,19.1,174,53,169298003
treatment,18,mobile,M,west,29,51,71.7,660926655
control,19,mobile,M,west,45.9,101,54.2,671025743
control,21,mobile,M,west,27.4,149,67.4,168984301
control,21,mobile,M,west,20.1,91,47.1,584056859
treatment,22,mobile,M,west,29.9,78,63,83263583
treatment,22,mobile,M,west,29.4,128,74.9,671004668
control,22,mobile,M,west,22,28,50.1,561193251
control,23,mobile,M,west,21,21,79.1,194705320
control,24,mobile,M,west,18.1,173,59.2,226975891
treatment,25,mobile,M,west,26.2,42,59.8,315427871
treatment,26,mobile,M,west,33.3,107,72.9,388003809
treatment,26,mobile,M,west,24.1,102,82.7,221390709
control,26,mobile,M,west,39.7,58,62.9,292690161
treatment,27,mobile,M,west,30.3,164,50.8,180514215
control,27,mobile,M,west,36.4,34,88.2,580135013
treatment,1,mobile,M,south,22.6,90,77.8,357757005
treatment,1,mobile,M,south,20.8,31,60.5,231237812
control,1,mobile,M,south,36.7,116,54.7,417059527
treatment,4,mobile,M,south,33.7,149,62.7,198302019
control,5,mobile,M,south,32,77,47.2,343448330
control,5,mobile,M,south,35.6,58,37.4,575630781
treatment,6,mobile,M,south,34.5,52,104.9,504208799
treatment,6,mobile,M,south,20.1,43,89.2,639836709
control,6,mobile,M,south,38.2,98,38.4,249526139
control,6,mobile,M,south,28.2,142,47.8,607314051
treatment,7,mobile,M,south,26,47,76.4,253850802
control,7,mobile,M,south,24.7,67,57.5,99610184
control,7,mobile,M,south,18.8,35,55.3,252863155
control,7,mobile,M,south,19.7,65,41.6,381370323
treatment,8,mobile,M,south,25.6,72,93.7,504226382
treatment,8,mobile,M,south,20.4,122,63,683839482
control,8,mobile,M,south,38,79,69.1,474923140
control,8,mobile,M,south,40,112,37.4,99854964
treatment,9,mobile,M,south,24.7,82,52.2,529773632
treatment,9,mobile,M,south,27.5,36,76.1,578062384
treatment,10,mobile,M,south,27.1,67,79.9,635384649
treatment,10,mobile,M,south,26.2,66,84.1,110197509
control,11,mobile,M,south,30.4,48,49,485580359
treatment,12,mobile,M,south,31.6,55,95.4,112100724
treatment,12,mobile,M,south,23.4,83,73.6,369284012
control,15,mobile,M,south,35.9,93,37.6,327213053
control,15,mobile,M,south,26.9,70,49.6,103001319
control,15,mobile,M,south,29,37,55.2,533518426
control,15,mobile,M,south,33.6,124,59.4,275799561
treatment,16,mobile,M,south,24.9,184,101.1,597393357
treatment,16,mobile,M,south,25,63,71,206588731
treatment,17,mobile,M,south,21.8,140,93.5,604532489
treatment,18,mobile,M,south,28.8,64,78.3,124166898
treatment,18,mobile,M,south,25.1,58,56.5,616308178
control,20,mobile,M,south,28.2,47,42.9,693984468
control,21,mobile,M,south,35.9,120,67.8,282173859
control,21,mobile,M,south,30.6,116,50.5,160636713
treatment,22,mobile,M,south,25.7,31,72.1,269974828
treatment,23,mobile,M,south,29.8,27,59,247153677
control,23,mobile,M,south,42.2,78,40.9,201474359
treatment,24,mobile,M,south,19.1,142,98.7,541594172
treatment,24,mobile,M,south,30.6,92,76.3,649298738
control,24,mobile,M,south,26.9,29,61.5,300146734
control,25,mobile,M,south,30.2,50,66.3,274461562
treatment,26,mobile,M,south,27.1,108,61.8,671201166
treatment,27,mobile,M,south,35.6,49,69.6,668393424
control,27,mobile,M,south,33.9,37,63.1,106474054
treatment,28,mobile,M,south,23.2,50,87,277880765
treatment,28,mobile,M,south,26.5,55,68.7,644289470
control,28,mobile,M,south,35.5,74,62.4,189215664
control,28,mobile,M,south,27.8,48,44.3,407254603
treatment,3,mobile,M,midwest,26.1,35,82,521743206
treatment,3,mobile,M,midwest,22.4,51,79.4,229063765
treatment,4,mobile,M,midwest,31.2,181,69.6,285116810
control,5,mobile,M,midwest,19.8,54,49.4,618605163
treatment,6,mobile,M,midwest,26.1,50,62.1,338836909
control,6,mobile,M,midwest,37.8,70,58.8,223778783
control,7,mobile,M,midwest,25.8,80,88.8,226783810
treatment,8,mobile,M,midwest,40.8,23,84.4,134065073
treatment,9,mobile,M,midwest,34.9,75,63.3,488472741
treatment,11,mobile,M,midwest,28.1,221,94,305638933
control,11,mobile,M,midwest,24,45,58.1,275221444
treatment,21,mobile,M,midwest,40.4,102,62.5,354276140
treatment,24,mobile,M,midwest,37.3,100,64.8,297073419
treatment,25,mobile,M,midwest,35,74,96.9,332633148
control,25,mobile,M,midwest,33,25,83.8,502992655
treatment,26,mobile,M,midwest,28,111,76.4,176076241
treatment,26,mobile,M,midwest,31.7,75,82.4,593225892
treatment,28,mobile,M,midwest,19.1,91,90.2,154401183
treatment,1,mobile,M,northeast,29,69,43.2,557636815
treatment,1,mobile,M,northeast,26,64,80.9,613703116
control,2,mobile,M,northeast,42.3,77,66.2,122217517
control,2,mobile,M,northeast,19.6,70,57.4,400218921
control,2,mobile,M,northeast,34.8,48,58.8,595466275
treatment,3,mobile,M,northeast,35.3,109,72.8,385421567
control,3,mobile,M,northeast,22.9,41,39.9,674259401
control,4,mobile,M,northeast,39.4,83,64.6,640769644
control,6,mobile,M,northeast,30.9,94,61.5,563545335
control,8,mobile,M,northeast,41.7,54,63.5,328118719
treatment,9,mobile,M,northeast,36.1,46,70.8,640763677
treatment,9,mobile,M,northeast,20.9,105,73.9,99798444
control,9,mobile,M,northeast,19.5,72,77.1,486168777
control,10,mobile,M,northeast,23.2,183,38.2,150457711
control,11,mobile,M,northeast,38.2,69,40.1,662836788
control,11,mobile,M,northeast,25.8,26,69.7,676018000
treatment,12,mobile,M,northeast,46.2,183,77,345347388
treatment,13,mobile,M,northeast,22.6,66,64.5,506107875
control,13,mobile,M,northeast,24.9,44,50.6,475575623
control,13,mobile,M,northeast,26,54,66.2,411510949
control,13,mobile,M,northeast,33.4,161,55.1,72937090
treatment,14,mobile,M,northeast,27.2,186,69,575253071
control,14,mobile,M,northeast,25.8,88,61.8,480557017
control,14,mobile,M,northeast,36,133,54.9,113965714
control,15,mobile,M,northeast,24.7,31,90.4,259726141
control,15,mobile,M,northeast,50.5,87,44.6,626074229
control,15,mobile,M,northeast,40.8,120,48.8,630405454
control,15,mobile,M,northeast,35.3,58,56.8,592902205
treatment,17,mobile,M,northeast,29.7,86,67.2,366181590
control,18,mobile,M,northeast,22.3,136,60.2,271735501
control,18,mobile,M,northeast,19.6,72,67.5,153468366
control,19,mobile,M,northeast,39.7,114,50.8,402998173
control,20,mobile,M,northeast,27.4,112,55.6,563031566
control,20,mobile,M,northeast,27.4,80,37.4,414534890
control,21,mobile,M,northeast,30.2,64,58.4,394688719
control,23,mobile,M,northeast,34.4,156,79,597663049
treatment,24,mobile,M,northeast,22.1,101,63.2,178063994
control,25,mobile,M,northeast,50,117,59.8,699784254
control,26,mobile,M,northeast,27.6,74,44.5,147190840
control,26,mobile,M,northeast,23.6,48,48.5,172347165
treatment,27,mobile,M,northeast,29.5,101,88.8,696755033
control,27,mobile,M,northeast,28.2,40,57.6,611519992
control,28,mobile,M,northeast,30,118,55.3,207591577
control,1,mobile,M,west,30.1,34,59.4,226573594
control,1,mobile,M,west,36.2,43,67.9,86780614
control,2,mobile,M,west,24,72,74.2,394633167
control,3,mobile,M,west,27.2,108,85,259169381
treatment,4,mobile,M,west,32.3,104,76.4,655795964
control,4,mobile,M,west,29,78,36.4,671304683
treatment,5,mobile,M,west,23.7,113,99.1,351349849
treatment,5,mobile,M,west,25.1,192,59.3,618839229
control,5,mobile,M,west,21.8,123,50,534385141
control,6,mobile,M,west,19.7,246,44.8,87854982
control,6,mobile,M,west,32.8,66,53.8,622930567
treatment,7,mobile,M,west,25.1,146,82.2,287015160
control,8,mobile,M,west,31.7,37,63.8,377869400
control,9,mobile,M,west,22.9,97,64.3,349630523
treatment,10,mobile,M,west,31.1,96,84.5,266823437
treatment,11,mobile,M,west,18.1,210,88.9,375048473
treatment,12,mobile,M,west,40.4,65,83.7,586439157
control,12,mobile,M,west,27.8,73,93.7,556469238
treatment,15,mobile,M,west,32.2,26,82.2,448910971
treatment,15,mobile,M,west,26.1,54,80.8,656255117
treatment,16,mobile,M,west,23.5,48,84.7,501482367
control,16,mobile,M,west,23.3,173,59.5,282912895
treatment,17,mobile,M,west,40,19,85.3,247712800
control,17,mobile,M,west,46.9,14,81.5,442038475
treatment,18,mobile,M,west,20.7,53,61.6,114459385
control,18,mobile,M,west,29.5,40,60.2,582757661
control,20,mobile,M,west,31.8,94,51.7,468804161
treatment,21,mobile,M,west,31.5,77,84.2,314326157
control,21,mobile,M,west,21,108,68.2,423750361
control,21,mobile,M,west,29.2,196,47.3,577269554
control,21,mobile,M,west,27.4,74,51.6,697771845
control,21,mobile,M,west,38,114,40.9,199800794
treatment,22,mobile,M,west,47.4,58,100.2,573695308
control,22,mobile,M,west,34.5,77,69.2,414628680
treatment,23,mobile,M,west,29.3,60,69.7,332015288
treatment,23,mobile,M,west,29.4,82,62,561066653
treatment,24,mobile,M,west,25.4,142,61.3,140449787
treatment,24,mobile,M,west,22.5,33,87.6,377039178
treatment,25,mobile,M,west,44.5,20,83.1,394070623
treatment,27,mobile,M,west,57.6,82,61.9,692038273
control,28,mobile,M,west,23.7,71,45.4,343528357
treatment,1,mobile,M,south,37.9,110,88.6,599013767
control,1,mobile,M,south,37.4,65,52.1,516185253
treatment,2,mobile,M,south,28.8,35,69.5,163782926
control,2,mobile,M,south,27.8,37,86.9,406207964
treatment,3,mobile,M,south,30.1,66,81.3,526909510
control,3,mobile,M,south,28.2,41,65.9,631928219
control,4,mobile,M,south,20.7,34,56.1,230833915
treatment,5,mobile,M,south,27.1,123,61.9,146863915
treatment,5,mobile,M,south,19,182,95.4,121477688
treatment,6,mobile,M,south,34.3,59,77.5,309578807
control,6,mobile,M,south,32.6,50,45.3,178635940
treatment,7,mobile,M,south,22.7,65,45.7,229615415
control,7,mobile,M,south,44.8,185,54.7,431124501
control,8,mobile,M,south,21.3,72,60,147403416
treatment,11,mobile,M,south,20.1,67,84.5,112708189
control,13,mobile,M,south,45.2,66,55.8,499562639
treatment,14,mobile,M,south,22.4,83,81.9,702175342
control,14,mobile,M,south,24.7,60,66.4,229756594
treatment,18,mobile,M,south,30.9,101,46.5,214886978
control,18,mobile,M,south,30.2,55,67.6,616691620
treatment,20,mobile,M,south,18.4,136,73.7,484156027
control,20,mobile,M,south,25.4,74,61.3,644036865
treatment,21,mobile,M,south,18.9,49,73.6,102687083
control,22,mobile,M,south,27.9,44,41.9,205740371
control,23,mobile,M,south,41,56,55.5,308885082
control,23,mobile,M,south,21.6,78,47,360819992
control,23,mobile,M,south,21.5,78,61,335597316
treatment,24,mobile,M,south,22.7,41,84.2,567826280
control,24,mobile,M,south,24.1,181,73.8,189615970
control,24,mobile,M,south,32.6,108,56.2,107217452
treatment,25,mobile,M,south,43.4,56,69.3,682644534
treatment,25,mobile,M,south,24,143,68.4,647838296
treatment,26,mobile,M,south,22.5,163,60.3,188220978
treatment,27,mobile,M,south,51.2,41,88.9,364945410
treatment,27,mobile,M,south,18.9,76,70.3,159388533
treatment,27,mobile,M,south,44.3,36,73.1,491540733
control,27,mobile,M,south,22.6,38,56.5,76615770
control,27,mobile,M,south,23,37,54.7,471666119
control,28,mobile,M,south,18.4,131,64.9,391618358
treatment,2,mobile,M,midwest,49.3,90,76.2,180855101
control,2,mobile,M,midwest,33.6,38,72.3,342685473
treatment,3,mobile,M,midwest,37.6,79,79.4,269413856
treatment,3,mobile,M,midwest,22.8,52,78.7,302242506
treatment,5,mobile,M,midwest,30.8,141,64.1,145298216
treatment,8,mobile,M,midwest,46.8,74,59.6,620518706
control,8,mobile,M,midwest,29.8,48,57,196166223
control,15,mobile,M,midwest,31.7,44,61.8,678121929
treatment,17,mobile,M,midwest,35.5,218,86.3,267205715
treatment,18,mobile,M,midwest,22.7,75,53.6,394562945
treatment,18,mobile,M,midwest,20.3,103,81.2,129466893
treatment,18,mobile,M,midwest,18.1,109,83.5,253794616
control,18,mobile,M,midwest,43.9,65,47.7,394961150
control,18,mobile,M,midwest,32.8,243,70.2,186635032
control,20,mobile,M,midwest,23.3,81,55.7,508659198
control,21,mobile,M,midwest,31.5,53,50.5,670842825
treatment,23,mobile,M,midwest,47.4,75,91.1,689850434
control,26,mobile,M,midwest,38.7,98,73.4,444749065
treatment,1,mobile,M,northeast,32.6,50,103.3,560068932
control,1,mobile,M,northeast,46.9,86,85.9,168869917
control,1,mobile,M,northeast,33.5,50,55,572140809
control,3,mobile,M,northeast,20.3,47,43.8,608114730
treatment,5,mobile,M,northeast,18.4,102,81.6,402432542
treatment,6,mobile,M,northeast,27,156,80.5,175955993
treatment,6,mobile,M,northeast,21.7,45,51.9,641553925
control,6,mobile,M,northeast,28.6,75,57.3,188101458
treatment,7,mobile,M,northeast,32.2,105,51.1,612972848
treatment,7,mobile,M,northeast,20.8,96,51.1,688331947
control,7,mobile,M,northeast,29.2,27,64.2,378470843
control,7,mobile,M,northeast,22.7,95,41.5,706699973
control,8,mobile,M,northeast,31.5,57,70.9,622131207
control,12,mobile,M,northeast,52.2,222,50,295556323
control,13,mobile,M,northeast,31.1,77,65.2,127928988
control,14,mobile,M,northeast,19.3,89,46,153225820
control,14,mobile,M,northeast,30.5,69,49.3,311874480
control,16,mobile,M,northeast,22.1,72,53.3,234815192
control,18,mobile,M,northeast,30.9,53,48.6,311199044
control,18,mobile,M,northeast,46.2,85,70.1,376763761
treatment,19,mobile,M,northeast,44.8,195,48.9,577417039
control,19,mobile,M,northeast,19.2,67,48,629212157
control,20,mobile,M,northeast,30.3,61,61,480006316
treatment,21,mobile,M,northeast,30.9,77,91.6,197367441
treatment,21,mobile,M,northeast,33.8,76,100.5,420295653
control,21,mobile,M,northeast,23.5,40,53.8,559361359
treatment,22,mobile,M,northeast,23.1,92,101.6,622546321
control,22,mobile,M,northeast,23.6,35,45.7,648314211
control,24,mobile,M,northeast,48.6,71,59.5,104886941
control,24,mobile,M,northeast,49.2,144,42.1,697333123
control,25,mobile,M,northeast,30.2,105,82.2,535312283
control,27,mobile,M,northeast,27.5,113,56.9,561435264
treatment,28,mobile,M,northeast,24.8,24,68.4,392198406
treatment,1,mobile,X,west,28.9,93,62.2,417565878
treatment,1,mobile,X,west,21.2,89,64,636598352
treatment,6,mobile,X,west,25.3,39,90.5,127731102
control,9,mobile,X,west,23.9,59,48.2,78294172
control,11,mobile,X,west,50.7,67,81,310052067
control,17,mobile,X,west,21.1,118,58,236002613
control,17,mobile,X,west,28.5,91,55.5,235399046
control,20,mobile,X,west,31.4,76,46.3,193615365
control,26,mobile,X,west,31.7,57,69.3,612348978
treatment,27,mobile,X,west,38.1,34,77.9,370391078
control,28,mobile,X,west,24.6,85,52.8,355740696
control,5,mobile,X,south,31.7,63,57.4,584862674
control,16,mobile,X,south,43.6,107,59.3,568416022
control,19,mobile,X,south,27.3,67,39.9,283529325
control,24,mobile,X,south,23.8,14,66.3,111206292
control,5,mobile,X,midwest,25.4,64,57.3,584475389
control,12,mobile,X,midwest,24.3,48,48,173667444
treatment,1,mobile,X,northeast,19.4,43,45.2,582233866
treatment,3,mobile,X,northeast,43.4,55,84.7,257075710
treatment,10,mobile,X,northeast,43.6,55,88.6,367269807
control,17,mobile,X,northeast,23.1,139,43.1,223839613
control,2,mobile,X,west,32.6,156,45.7,531745289
treatment,4,mobile,X,west,45.8,49,97.1,169283047
control,11,mobile,X,west,18.8,158,68.9,345855490
treatment,13,mobile,X,west,35.6,81,77.8,184231071
control,14,mobile,X,west,31.3,115,48.3,606955273
control,15,mobile,X,west,37.9,89,67.1,688260638
control,16,mobile,X,west,25.9,117,79,342514022
control,24,mobile,X,west,48.1,72,54.6,528675161
treatment,10,mobile,X,south,40.5,69,59,266257926
treatment,27,mobile,X,south,21,55,69.8,219357718
control,5,mobile,X,midwest,40.7,71,59.1,507135320
control,21,mobile,X,midwest,23.5,69,54.1,363553196
control,6,mobile,X,northeast,27.2,99,57.2,659282553
control,16,mobile,X,northeast,19.6,98,52.8,198390859
control,18,mobile,X,northeast,48.9,95,51.5,580167753
control,18,mobile,X,northeast,25.8,76,58.8,581567589
treatment,20,mobile,X,northeast,34.8,119,81.6,175415178
control,24,mobile,X,west,20.2,105,61.4,361982220
treatment,26,mobile,X,west,42.4,81,88.7,490163308
control,27,mobile,X,west,21.2,54,54.5,704828838
control,28,mobile,X,west,23.1,44,77.4,81955210
control,1,mobile,X,south,37.1,74,46.6,591682322
control,3,mobile,X,south,35.4,73,39.6,401551796
control,11,mobile,X,south,39.8,62,41.5,262195152
control,14,mobile,X,south,45,69,49.3,245889972
control,14,mobile,X,south,27,37,55,448083500
control,19,mobile,X,south,34.3,41,58.6,687231044
treatment,7,mobile,X,midwest,29.9,177,62.4,339303162
treatment,17,mobile,X,midwest,38.6,62,56.2,119913546
control,20,mobile,X,midwest,45.5,37,57.8,287989980
control,21,mobile,X,midwest,18.5,81,48,325458205
treatment,24,mobile,X,midwest,23.1,131,76.8,196127861
control,7,mobile,X,northeast,42.4,178,65.2,341597810
control,17,mobile,X,northeast,39.7,85,64.2,645512077
control,21,mobile,X,northeast,32.8,59,71.5,654050580
control,12,mobile,X,west,34.6,24,40.7,377434807
treatment,21,mobile,X,west,32.6,29,82.6,235147576
treatment,22,mobile,X,west,23.3,139,73,467253524
control,24,mobile,X,west,18.9,66,57.5,286447003
control,28,mobile,X,west,30.1,119,66,681180161
treatment,10,mobile,X,south,27.4,74,53.9,234176530
treatment,17,mobile,X,south,41.3,88,91.2,212010347
control,18,mobile,X,south,31.3,64,63.4,226187071
treatment,21,mobile,X,south,39,52,72.7,546248254
control,25,mobile,X,south,23.9,50,60.1,156872412
control,19,mobile,X,midwest,19,62,72.8,410942756
control,21,mobile,X,midwest,20.2,62,64,621653670
control,22,mobile,X,midwest,25.9,58,55.4,491196821
treatment,23,mobile,X,midwest,23.8,84,75.8,311954481
control,23,mobile,X,midwest,26.9,100,60.8,668392638
control,28,mobile,X,midwest,32.2,69,76.1,447891765
treatment,16,mobile,X,northeast,22,68,71.2,248517716
control,2,mobile,X,west,32.7,86,47,93804974
control,6,mobile,X,west,41.4,36,57.8,707453577
treatment,26,mobile,X,west,33.8,144,101.8,129795774
treatment,28,mobile,X,west,29.1,143,61.2,80086930
control,28,mobile,X,west,41.7,73,57.7,526227155
treatment,14,mobile,X,south,30.4,149,77.9,306743740
control,6,mobile,X,midwest,24.6,62,61.2,685764238
control,7,mobile,X,midwest,20.3,44,58.9,315345510
treatment,8,mobile,X,midwest,18.4,56,68.9,150347994
control,26,mobile,X,midwest,30,51,76.8,342603029
control,5,mobile,X,northeast,36,117,68,75992637
treatment,8,mobile,X,northeast,35.6,57,73,648876443
treatment,10,mobile,X,northeast,26.2,72,74.9,358811030
treatment,18,mobile,X,northeast,21,84,62.8,350351548
control,20,mobile,X,northeast,35.7,184,53.6,72339653
control,7,mobile,X,west,29.8,74,70.5,145268640
treatment,13,mobile,X,west,20.1,195,63.6,571833796
treatment,15,mobile,X,west,19,115,82.4,268777411
control,15,mobile,X,west,40.1,83,60.2,525991165
control,17,mobile,X,west,36.1,82,61.4,293987647
control,20,mobile,X,west,25,129,44.4,572323860
control,6,mobile,X,south,19.5,65,55.5,512182054
control,11,mobile,X,south,35.4,74,35.7,708384368
control,22,mobile,X,south,26,153,38.7,664818091
control,26,mobile,X,south,24.8,97,54.8,702353205
control,9,mobile,X,midwest,24.6,39,56,165840231
control,6,mobile,X,northeast,24.1,180,74.7,408125202
treatment,19,mobile,X,northeast,29.2,107,71.1,162106093
control,25,mobile,X,northeast,20.7,98,59,583232049
control,1,mobile,X,west,28.3,95,59,325563920
control,2,mobile,X,west,26.4,46,53.9,216073839
treatment,3,mobile,X,west,20.4,127,78.8,303941010
treatment,4,mobile,X,west,23.5,75,78.3,599103813
control,5,mobile,X,west,24,104,56.1,669634018
treatment,6,mobile,X,west,36.2,65,70.3,113918957
treatment,25,mobile,X,west,21.5,98,92.7,538647143
control,26,mobile,X,west,39,76,51.6,237023718
treatment,28,mobile,X,west,18.5,51,90,465522455
control,23,mobile,X,south,32.6,59,54.5,213272745
control,26,mobile,X,south,39.3,197,44.6,665806188
control,26,mobile,X,south,26.1,116,67.5,662258474
treatment,9,mobile,X,midwest,31.3,101,80.5,690150132
control,25,mobile,X,midwest,24.3,68,62,640747395
control,11,mobile,X,northeast,22.4,99,44.8,217012806
control,16,mobile,X,northeast,35.3,75,57.2,404632225
control,18,mobile,X,northeast,22.3,125,54.3,161336203
control,24,mobile,X,northeast,41.2,136,48.9,392478863
control,25,mobile,X,northeast,23.7,93,67.6,517998828
control,2,mobile,X,west,32,36,43.5,207411934
treatment,4,mobile,X,west,18.4,82,87.4,605349491
control,10,mobile,X,west,22.1,122,43.3,416155335
control,14,mobile,X,west,26,76,61.6,558881600
control,16,mobile,X,west,26.9,129,63.1,637974498
treatment,3,mobile,X,south,33,112,69.9,541169991
treatment,10,mobile,X,south,29.6,95,98.6,390146448
control,12,mobile,X,south,22.6,99,75,149707625
treatment,15,mobile,X,south,34,35,63.4,621267012
control,16,mobile,X,south,21.9,30,55.5,665980670
control,28,mobile,X,south,18.7,37,65.4,401393752
control,22,mobile,X,midwest,31.3,26,49.2,611332684
control,3,mobile,X,northeast,18.3,137,59.9,181174315
treatment,9,mobile,X,northeast,21.6,71,77.2,118194911
control,9,mobile,X,northeast,30.3,64,63.6,359011341
treatment,13,mobile,X,northeast,25.2,69,75.7,655565116
treatment,24,mobile,X,northeast,37.3,96,64.7,408817025
treatment,24,mobile,X,northeast,18.1,13,77.3,656539112
treatment,27,mobile,X,northeast,40.6,108,57.6,309581221
control,28,mobile,X,northeast,25,70,53.7,406958438
treatment,4,mobile,X,west,20.5,89,77.4,374840671
treatment,6,mobile,X,west,26,111,85.3,380179220
treatment,7,mobile,X,west,25.2,40,90.8,476235117
treatment,15,mobile,X,west,28.9,77,70.7,530764572
control,16,mobile,X,west,30.8,72,45.2,301910649
treatment,21,mobile,X,west,20.7,75,49.7,79910740
control,5,mobile,X,south,28.4,134,62.3,349205654
treatment,6,mobile,X,south,42,56,89.3,94143058
control,15,mobile,X,south,21.9,105,57.4,590273095
treatment,16,mobile,X,south,22,112,63.1,553705009
control,20,mobile,X,south,23,82,58.3,142566810
treatment,27,mobile,X,south,18,93,75.4,618049288
control,7,mobile,X,midwest,22.3,95,58.3,341511537
treatment,22,mobile,X,midwest,25,73,63.8,647428268
control,27,mobile,X,midwest,34,96,71.5,628992453
control,1,mobile,X,northeast,31.5,86,58.4,540306811
treatment,9,mobile,X,northeast,34.7,113,95,130175495
treatment,18,mobile,X,northeast,41.4,35,74.8,355640499
control,26,mobile,X,northeast,25.3,79,64.5,80639228
control,12,mobile,X,west,38.6,58,61.9,703293928
control,17,mobile,X,west,37.9,101,43.8,653587140
control,9,mobile,X,south,25.5,53,52.4,274592314
control,9,mobile,X,south,18.5,44,47.2,559364244
control,10,mobile,X,south,36.2,146,55,213028189
treatment,17,mobile,X,south,22.1,91,80.2,193601784
treatment,23,mobile,X,south,39.5,90,57.5,379953418
control,23,mobile,X,south,33,71,37.9,133601214
treatment,24,mobile,X,south,24.5,80,96.4,563073438
treatment,26,mobile,X,south,18.4,88,72.3,548995151
treatment,28,mobile,X,south,27.5,44,79.2,501015402
treatment,10,mobile,X,midwest,37.5,123,71.2,333732347
control,10,mobile,X,midwest,35,57,36.1,277349661
control,23,mobile,X,midwest,27.3,29,66.5,394961596
control,2,mobile,X,northeast,29,51,54.4,669584194
treatment,12,mobile,X,northeast,18.8,131,75.4,629314280
control,15,mobile,X,northeast,32.3,88,57.3,316149438
treatment,16,mobile,X,northeast,32.8,48,58.3,431766031
treatment,20,mobile,X,northeast,22.8,209,60.7,707378840
control,9,mobile,X,west,33,117,58.8,494081817
control,15,mobile,X,west,20.8,117,47.2,265146530
control,22,mobile,X,west,19.8,35,67.9,592415380
control,25,mobile,X,west,24.6,99,48,679249882
treatment,2,mobile,X,south,24.2,46,81.6,306013254
control,2,mobile,X,south,25.9,62,70.7,574842112
control,16,mobile,X,south,22.3,62,59.1,560916491
treatment,22,mobile,X,south,42.3,134,96.4,288042302
treatment,25,mobile,X,south,43.5,137,53.1,162778900
control,28,mobile,X,midwest,35.3,99,61,327687988
control,4,mobile,X,northeast,35.7,53,61.9,695105621
control,11,mobile,X,northeast,25,183,59.1,236668821
control,13,mobile,X,northeast,36.3,152,45.5,307241578
control,19,mobile,X,northeast,34.3,76,74.6,582477582
control,23,mobile,X,northeast,22.8,58,84.1,557321875
control,26,mobile,X,northeast,33,77,69.5,568304774
treatment,20,mobile,X,west,25.3,122,60.9,229272460
treatment,23,mobile,X,west,42.1,145,51.3,216068529
control,25,mobile,X,west,21.2,138,53.3,355937257
control,1,mobile,X,south,35.9,67,41.6,240245497
treatment,4,mobile,X,south,31.6,68,77.4,465025363
control,4,mobile,X,south,51,98,66.3,533726930
treatment,12,mobile,X,south,31.4,88,88.9,495710687
control,20,mobile,X,south,29.5,54,48.3,219253697
control,22,mobile,X,south,18.3,34,42.9,198092610
treatment,25,mobile,X,south,31.8,111,97.8,141299416
treatment,28,mobile,X,midwest,28,33,82.1,378808781
treatment,13,mobile,X,northeast,26.4,53,65,121694984
control,16,mobile,X,northeast,57.6,67,44.1,606376481
control,17,mobile,X,northeast,37.6,65,53.2,433475832
treatment,20,mobile,X,northeast,32.2,175,69.1,385728347
control,20,mobile,X,northeast,22.7,68,66.3,552053804
control,24,mobile,X,northeast,20.9,41,60.9,510353604
treatment,26,mobile,X,northeast,32.8,126,54.5,268965142
control,2,mobile,X,west,20.2,52,82.9,652279796
treatment,8,mobile,X,west,28.2,133,68.7,393325809
control,11,mobile,X,west,40.7,24,55.7,257070779
control,13,mobile,X,west,26.4,38,87.7,375894026
treatment,14,mobile,X,west,22.3,180,79.7,120834965
control,17,mobile,X,west,27.1,88,56.4,230275559
treatment,18,mobile,X,west,29.3,71,69.5,118563091
control,22,mobile,X,west,102,67,83,454388008
treatment,23,mobile,X,west,33.8,80,73.2,479172712
control,26,mobile,X,west,53.7,38,64.6,692579082
control,28,mobile,X,west,20.7,86,64.5,667162110
control,2,mobile,X,south,35,55,57.5,195971916
control,6,mobile,X,south,46.1,50,56.6,211170269
treatment,9,mobile,X,south,34,118,89.2,518445781
control,6,mobile,X,midwest,22,80,55.3,167523739
control,12,mobile,X,midwest,40.7,144,60.1,301248058
treatment,6,mobile,X,northeast,31.5,56,90.7,178392659
treatment,10,mobile,X,northeast,40.1,29,73.3,323517157
treatment,13,mobile,X,northeast,26.7,102,71.3,126997871
treatment,13,mobile,X,west,19.1,62,75.7,155797948
control,15,mobile,X,west,32.5,77,50.2,155811856
control,22,mobile,X,west,24.2,133,46.5,308066452
treatment,1,mobile,X,south,21.6,104,74.5,645810292
control,9,mobile,X,south,25.7,87,47,665928776
control,10,mobile,X,south,24.6,29,63.7,200128774
treatment,15,mobile,X,south,42.7,62,98,604981464
treatment,16,mobile,X,south,19.2,65,68.3,208311851
control,24,mobile,X,south,33.9,108,43.7,185858548
